	Tue Jun 10 06:30 2014 Time and Allocation Profiling Report  (Final)

	   safe-sim +RTS -p -RTS -Iisa/code/IsaTests -Iisa/code/safelib isa/code/IsaTests/DCache_issue.asm

	total time  =        5.17 secs   (5169 ticks @ 1000 us, 1 processor)
	total alloc = 3,258,705,280 bytes  (excludes profiling overheads)

COST CENTRE                MODULE      %time %alloc

getRawReg                  Register     14.2   21.0
runOptions.(...)           Command       8.2    6.0
setRawReg                  Register      7.1    8.7
runOptions                 Command       3.9    9.5
isLive                     Register      3.2    3.1
getReg                     Register      2.6    2.4
step                       Processor     2.6    0.5
checkWriteWatchpoint       Memory        2.5    4.2
commit                     Commit        2.4    0.7
getTmuInputs               TMU           2.2    2.4
decodeInstruction          Decoder       2.0    1.2
run1                       Debugger      1.7    0.8
dbgMsgLn                   Message       1.5    2.4
runInstruction             Processor     1.4    0.6
isFieldDontCare            GroundRules   1.4    0.0
instructionSpecificInputs' TMU           1.4    0.1
pointer                    Pointer       1.4    0.9
getsProcState              Atom          1.4    0.0
tmuCheck                   TMU           1.3    0.8
updateRegisterTags         TMU           1.2    0.5
displayInstruction         Processor     1.2    1.1
runOptions.fnla            Command       1.2    4.4
fetch                      Processor     1.1    0.7
commitInstruction          Commit        1.1    0.4
handlePossiblePcForwarding Processor     1.0    1.0
getMemory                  Memory        0.9    2.0
readTP                     Register      0.5    2.0
getDebugState              Atom          0.5    1.0


                                                                                                                    individual     inherited
COST CENTRE                                      MODULE                                           no.     entries  %time %alloc   %time %alloc

            checkWriteWatchpoint                 Memory                                          1641        5537    0.0    0.1     0.0    0.1
             watchpoints                         Atom                                            1643        5537    0.0    0.0     0.0    0.0
             getDebugState                       Atom                                            1642           0    0.0    0.0     0.0    0.0
              alDebugState                       Atom                                            1644        5537    0.0    0.0     0.0    0.0
            writeMemTag.addr'                    Memory                                          1640        5537    0.0    0.0     0.0    0.0
            getMemory                            Memory                                          1638           0    0.0    0.0     0.0    0.0
             alMem                               Atom                                            1639       11074    0.0    0.0     0.0    0.0
            getsUartState                        Atom                                            1635           0    0.0    0.0     0.0    0.0
             active                              Atom                                            1637        5537    0.0    0.0     0.0    0.0
             alUart                              Atom                                            1636        5537    0.0    0.0     0.0    0.0
           getMemory                             Memory                                          1630           0    0.0    0.0     0.0    0.0
            alMem                                Atom                                            1631        5537    0.0    0.0     0.0    0.0
           active                                Atom                                            1629        5537    0.0    0.0     0.0    0.0
           alUart                                Atom                                            1628        5537    0.0    0.0     0.0    0.0
           getsUartState                         Atom                                            1627        5537    0.0    0.0     0.0    0.0
           getMR                                 Register                                        1616           0    0.0    0.0     0.2    0.1
            getRawReg                            Register                                        1617           0    0.1    0.1     0.2    0.1
             getMemory                           Memory                                          1625           0    0.0    0.0     0.0    0.0
              alMem                              Atom                                            1626        5537    0.0    0.0     0.0    0.0
             active                              Atom                                            1624        5537    0.0    0.0     0.0    0.0
             alUart                              Atom                                            1623        5537    0.0    0.0     0.0    0.0
             getsUartState                       Atom                                            1622        5537    0.0    0.0     0.0    0.0
             readTP                              Register                                        1618           0    0.0    0.0     0.0    0.0
              getsProcState                      Atom                                            1619           0    0.0    0.0     0.0    0.0
               threadPointer                     Atom                                            1621        5537    0.0    0.0     0.0    0.0
               alProcState                       Atom                                            1620        5537    0.0    0.0     0.0    0.0
          mw                                     Atom                                            1373       32337    0.0    0.0     0.0    0.0
          pc                                     Atom                                            1372       32337    0.0    0.0     0.0    0.0
          updTag                                 TMU                                             1371       64674    0.0    0.0     0.0    0.0
          tp                                     Atom                                            1370       32337    0.0    0.0     0.0    0.0
        displayInstruction                       Processor                                       1344       32337    1.2    1.1     2.9    3.2
         profileOutput                           Atom                                            1367       32337    0.0    0.0     0.0    0.0
         traceOutput                             Atom                                            1365       32337    0.0    0.0     0.0    0.0
         dbgMsgLn                                Message                                         1361       32337    0.3    0.5     0.4    0.5
          getsDebugState                         Atom                                            1362           0    0.0    0.0     0.1    0.0
           verbosity                             Atom                                            1364       32337    0.0    0.0     0.0    0.0
           alDebugState                          Atom                                            1363       32337    0.0    0.0     0.0    0.0
         dbgAtMsg                                Message                                         1355       32337    0.3    0.4     0.7    0.7
          getVerbosity                           Message                                         1357           0    0.3    0.3     0.4    0.3
           verbosity                             Atom                                            1359       32337    0.1    0.0     0.1    0.0
           getDebugState                         Atom                                            1358           0    0.1    0.0     0.1    0.0
            alDebugState                         Atom                                            1360       32337    0.0    0.0     0.0    0.0
         dbgMsg                                  Message                                         1349       64674    0.3    0.9     0.5    0.9
          getsDebugState                         Atom                                            1352           0    0.1    0.0     0.2    0.0
           verbosity                             Atom                                            1354       64674    0.1    0.0     0.1    0.0
           alDebugState                          Atom                                            1353       64674    0.0    0.0     0.0    0.0
         getDebugState                           Atom                                            1348           0    0.0    0.0     0.0    0.0
